,,AREA,,,,,,,,,,,,,CASES/DEATHS: LAST WEEK (May 20-26),,,,,CASES/DEATHS: % CHANGE FROM PREVIOUS WEEK,,CASES/DEATHS: PREVIOUS WEEK (May 13-19),,,,,CASES/DEATHS: OTHER METRICS,,,,,,,,,,"VIRAL (RT-PCR) LAB TESTING: LAST WEEK (May 18-24, Test Volume May 14-20 )",,,,,VIRAL (RT-PCR) LAB TESTING: % CHANGE FROM PREVIOUS WEEK,,,,"VIRAL (RT-PCR) LAB TESTING: PREVIOUS WEEK (May 11-17, Test Volume May 7-13 )",,,,,HOSPITAL UTILIZATION: LAST WEEK (May 19-25),,,,,,,,,,HOSPITAL UTILIZATION: CHANGE FROM PREVIOUS WEEK,,,,,,,,HOSPITAL REPORTING AND CAPACITY,,,,,,,,COVID-19 VACCINATION DATA: CUMULATIVE (May 27),,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA LAST WEEK,,,,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA % CHANGE FROM PREVIOUS WEEK,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA CUMULATIVE,,,,,,,,,,,,DEMOGRAPHIC DETAILS,,,,,,,,,,FORECASTING RESULTS (May 24)
"Wayne County, MI",Wayne County ,26163,Large central metro,"Detroit-Warren-Dearborn, MI",Metropolitan,MI,5,"  1,749,343 ",40.5%,17.5%,0.5%,  1 ,"  25,758 ",1.5%,0.8%,"  1,298 ",  74 ,  81 ,  4.6 ,-32%,+1%,0.9%,"  1,903 ",  109 ,  80 ,  4.6 ,"  163,784 ","  9,363 ","  4,978 ",  285 ,  -   ,  33 ,HighBurdenResolving,,Substantial,High,5.1%,"  29,908 ","  1,710 ",  -   ,99%,-1.7%,-10%,  -   ,+2%,6.8%,"  33,078 ","  1,891 ",  -   ,97%,  234 ,  5 ,  107 ,  2 ,84%,7%,81%,18%,33%,8%,-21%,-4%,0%,-3%,-1%,-6%,-2%,-2%,  18 ,"  4,312 ",  586 ,"  1,102 ",100%,94%,100%,100%,"  718,571 ",41.1%,"  605,599 ",34.6%,"  2,649 ",1.9%,"  13,902 ",1.0%,"  1,579 ",0.6%,,,,"  16,525 ",11.9%,"  9,557 ",6.9%,"  702,018 ",52.5%,"  596,040 ",44.6%,"  209,717 ",75.8%,"  188,521 ",68.2%,7%,23%,16%,  2.6 ,38%,6%,0%,4%,  0.87 ,  0.72 ,Likely Decreasing
"King County, WA",King County ,53033,Large central metro,"Seattle-Tacoma-Bellevue, WA",Metropolitan,WA,10,"  2,252,782 ",56.6%,29.6%,0.7%,  3 ,"  65,772 ",2.9%,0.8%,"  1,282 ",  57 ,  15 ,  0.7 ,-23%,+7%,0.8%,"  1,665 ",  74 ,  14 ,  0.6 ,"  108,914 ","  4,835 ","  1,569 ",  70 ,  -   ,  17 ,HighBurdenResolving,,Substantial,Substantial,2.5%,"  31,766 ","  1,410 ",,,-0.5%,-36%,,,3.1%,"  49,667 ","  2,205 ",,,  140 ,  3 ,  225 ,  5 ,77%,3%,59%,9%,24%,3%,+41%,-19%,0%,0%,0%,-2%,-1%,-1%,  20 ,"  4,247 ",  508 ,  797 ,95%,90%,100%,95%,"  1,465,766 ",65.1%,"  1,189,422 ",52.8%,"  20,811 ",14.3%,"  35,296 ",2.0%,"  1,769 ",0.6%,,,,"  74,372 ",51.1%,"  20,940 ",14.4%,"  1,391,091 ",77.2%,"  1,168,439 ",64.9%,"  269,620 ",88.6%,"  252,274 ",82.9%,6%,10%,14%,  2.5 ,7%,10%,1%,19%,  0.29 ,  0.28 ,Uncertain
"Clark County, NV",Clark County ,32003,Large central metro,"Las Vegas-Henderson-Paradise, NV",Metropolitan,NV,9,"  2,266,715 ",100.0%,73.6%,0.7%,  1 ,"  21,541 ",1.0%,0.8%,"  1,278 ",  56 ,  23 ,  1.0 ,-24%,-8%,0.8%,"  1,689 ",  75 ,  25 ,  1.1 ,"  250,573 ","  11,054 ","  4,393 ",  194 ,  -   ,  10 ,HighBurdenResolving,,Substantial,Substantial,3.5%,"  26,715 ","  1,179 ",  1.0 ,99%,-0.2%,-7%,  -   ,+19%,3.7%,"  28,669 ","  1,265 ",  1.0 ,80%,  163 ,  3 ,  282 ,  5 ,71%,4%,74%,10%,30%,3%,-22%,+3%,-2%,-1%,+4%,0%,+3%,0%,  26 ,"  5,582 ",  628 ,"  1,038 ",96%,92%,100%,96%,"  943,668 ",41.6%,"  748,615 ",33.0%,"  4,472 ",2.5%,"  21,482 ",1.2%,"  1,998 ",0.6%,,,,"  23,608 ",13.4%,"  8,486 ",4.8%,"  920,042 ",52.7%,"  740,125 ",42.4%,"  262,367 ",76.6%,"  225,477 ",65.8%,13%,14%,15%,  2.8 ,12%,32%,0%,10%,  0.74 ,  0.63 ,Uncertain
"Orange County, FL",Orange County ,12095,Large central metro,"Orlando-Kissimmee-Sanford, FL",Metropolitan,FL,4,"  1,393,452 ",53.4%,6.5%,0.4%,  1 ,"  50,190 ",3.6%,0.7%,"  1,161 ",  83 ,  12 ,  0.9 ,-25%,+20%,0.7%,"  1,548 ",  111 ,  10 ,  0.7 ,"  142,217 ","  10,206 ","  1,300 ",  93 ,  -   ,  31 ,HighBurdenResolving,,Substantial,High,4.4%,"  27,865 ","  2,000 ",,,-0.4%,-3%,,,4.8%,"  28,853 ","  2,071 ",,,  190 ,  4 ,  519 ,  11 ,87%,4%,83%,11%,35%,4%,-7%,-40%,0%,-1%,0%,-1%,0%,0%,  7 ,"  4,793 ",  463 ,  823 ,100%,86%,100%,100%,"  661,865 ",47.5%,"  519,075 ",37.3%,"  5,508 ",5.3%,"  20,610 ",1.9%,"  1,598 ",0.9%,,,,"  22,232 ",21.6%,"  7,583 ",7.4%,"  637,097 ",58.6%,"  511,097 ",47.0%,"  149,797 ",87.3%,"  130,460 ",76.0%,15%,16%,12%,  2.8 ,20%,33%,0%,5%,  0.67 ,  0.55 ,Uncertain
"Spokane County, WA",Spokane County ,53063,Medium metro,"Spokane-Spokane Valley, WA",Metropolitan,WA,10,"  522,798 ",92.0%,6.9%,0.2%,  2 ,"  19,180 ",3.7%,0.7%,"  1,153 ",  221 ,  9 ,  1.7 ,+59%,+800%,0.3%,  724 ,  138 ,  1 ,  0.2 ,"  44,464 ","  8,505 ",  645 ,  123 ,  1 ,  -   ,SustainedHotspot,New,High,High,5.0%,"  13,564 ","  2,595 ",,,-0.5%,-22%,,,5.5%,"  17,453 ","  3,338 ",,,  55 ,  5 ,  162 ,  14 ,79%,5%,71%,10%,24%,4%,+17%,-6%,+1%,0%,-1%,-6%,+3%,-1%,  6 ,"  1,153 ",  106 ,  163 ,100%,83%,100%,100%,"  239,548 ",45.8%,"  196,686 ",37.6%,"  2,522 ",6.5%,"  6,487 ",1.6%,  629 ,0.7%,,,,"  7,553 ",19.6%,"  1,946 ",5.0%,"  231,978 ",56.9%,"  194,737 ",47.7%,"  73,079 ",84.4%,"  67,753 ",78.2%,6%,14%,17%,  2.4 ,2%,6%,1%,2%,  0.48 ,  0.14 ,Uncertain
"Kings County, NY",Kings County ,36047,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,"  2,559,903 ",13.3%,13.2%,0.8%,  -   ,"  15,416 ",0.6%,0.7%,"  1,134 ",  44 ,  43 ,  1.7 ,-25%,-22%,0.7%,"  1,509 ",  59 ,  55 ,  2.1 ,"  279,152 ","  10,905 ","  10,383 ",  406 ,  -   ,  49 ,ModerateBurdenResolving,,Moderate,Substantial,1.1%,"  114,918 ","  4,489 ",  1.0 ,99%,-0.5%,-11%,  -   ,0%,1.6%,"  128,614 ","  5,024 ",  1.0 ,99%,  101 ,  2 ,  25 ,  1 ,71%,4%,74%,8%,21%,2%,-16%,-16%,+2%,-1%,-2%,-5%,-2%,-1%,  13 ,"  4,340 ",  395 ,"  1,208 ",100%,92%,100%,100%,"  1,157,313 ",45.2%,"  936,177 ",36.6%,"  5,658 ",3.3%,"  29,505 ",1.5%,"  3,407 ",0.9%,,,,"  28,284 ",16.3%,"  9,001 ",5.2%,"  1,128,883 ",57.0%,"  927,127 ",46.8%,"  241,358 ",65.6%,"  205,837 ",56.0%,8%,21%,14%,  2.7 ,30%,19%,0%,12%,  0.82 ,  0.91 ,Uncertain
"Bexar County, TX",Bexar County ,48029,Large central metro,"San Antonio-New Braunfels, TX",Metropolitan,TX,6,"  2,003,554 ",78.5%,6.9%,0.6%,  2 ,"  39,255 ",2.0%,0.7%,"  1,101 ",  55 ,  14 ,  0.7 ,-11%,-44%,0.6%,"  1,233 ",  62 ,  25 ,  1.2 ,"  222,586 ","  11,110 ","  3,560 ",  178 ,  -   ,  25 ,ModerateBurdenResolving,,Substantial,Substantial,1.4%,"  52,051 ","  2,598 ",  1.0 ,100%,-0.8%,+6%,  -   ,0%,2.2%,"  49,205 ","  2,456 ",  1.0 ,100%,  147 ,  2 ,  95 ,  1 ,60%,2%,89%,11%,38%,3%,-8%,-10%,0%,0%,+1%,-1%,0%,0%,  18 ,"  6,411 ",  569 ,"  1,453 ",100%,94%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,15%,16%,12%,  3.0 ,7%,61%,0%,3%,  0.83 ,  0.37 ,Uncertain
"Providence County, RI",Providence County ,44007,Large central metro,"Providence-Warwick, RI-MA",Metropolitan,RI,1,"  638,931 ",39.3%,60.3%,0.2%,  3 ,"  31,984 ",5.0%,0.7%,"  1,084 ",  170 ,  7 ,  1.1 ,,,0.0%,  -   ,  -   ,  -   ,  -   ,"  98,724 ","  15,451 ","  1,978 ",  310 ,  -   ,  27 ,EmergingHotspot,,High,Low,1.3%,"  32,342 ","  5,062 ",  1.0 ,100%,-0.1%,-16%,  -   ,0%,1.4%,"  38,439 ","  6,016 ",  1.0 ,100%,  27 ,  2 ,  -   ,  -   ,89%,4%,79%,11%,17%,2%,+3%,,-2%,0%,-1%,-1%,+1%,0%,  8 ,"  1,769 ",  136 ,  533 ,100%,88%,100%,100%,"  333,404 ",52.2%,"  283,390 ",44.4%,"  3,781 ",8.4%,"  7,676 ",1.5%,  538 ,0.5%,,,,"  13,779 ",30.5%,"  4,123 ",9.1%,"  319,592 ",62.9%,"  279,264 ",55.0%,"  84,839 ",85.0%,"  82,509 ",82.7%,6%,16%,16%,  2.6 ,9%,24%,0%,4%,  0.76 ,  0.29 ,Uncertain
"Philadelphia County, PA",Philadelphia County ,42101,Large central metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan,PA,3,"  1,584,064 ",26.0%,12.4%,0.5%,  4 ,"  96,491 ",6.1%,0.7%,"  1,076 ",  68 ,  43 ,  2.7 ,-28%,0%,0.7%,"  1,501 ",  95 ,  43 ,  2.7 ,"  152,530 ","  9,629 ","  3,615 ",  228 ,  -   ,  31 ,ModerateBurdenResolving,,Substantial,Substantial,3.1%,"  35,989 ","  2,272 ",  1.0 ,99%,-0.9%,-20%,  -   ,0%,3.9%,"  45,134 ","  2,849 ",  1.0 ,99%,  181 ,  3 ,  466 ,  8 ,82%,4%,79%,8%,28%,2%,-26%,-4%,+1%,-1%,-1%,-2%,0%,-1%,  20 ,"  5,587 ",  692 ,"  1,723 ",100%,95%,100%,100%,"  789,759 ",49.9%,"  568,738 ",35.9%,"  3,713 ",3.6%,"  16,389 ",1.3%,"  1,568 ",0.7%,,,,"  16,880 ",16.2%,"  5,075 ",4.9%,"  772,253 ",62.2%,"  563,567 ",45.4%,"  181,102 ",81.7%,"  142,931 ",64.5%,9%,25%,14%,  2.6 ,41%,15%,0%,8%,  0.92 ,  0.80 ,Likely Decreasing
"Cuyahoga County, OH",Cuyahoga County ,39035,Large central metro,"Cleveland-Elyria, OH",Metropolitan,OH,5,"  1,235,072 ",60.3%,10.6%,0.4%,  2 ,"  31,202 ",2.5%,0.6%,  927 ,  75 ,  5 ,  0.4 ,-5%,+400%,0.5%,  971 ,  79 ,  1 ,  0.1 ,"  114,512 ","  9,272 ","  2,158 ",  175 ,  -   ,  32 ,HighBurdenResolving,,Substantial,Substantial,3.4%,"  24,370 ","  1,973 ",  1.0 ,99%,-0.1%,-10%,  -   ,+3%,3.5%,"  27,167 ","  2,200 ",  1.0 ,96%,  145 ,  3 ,  319 ,  6 ,72%,3%,75%,5%,30%,3%,-16%,+5%,0%,0%,+1%,-1%,-1%,0%,  22 ,"  5,771 ",  894 ,"  1,073 ",100%,95%,100%,100%,"  604,352 ",48.9%,"  544,167 ",44.1%,"  6,057 ",7.0%,"  10,970 ",1.1%,"  1,286 ",0.6%,,,,"  21,843 ",25.2%,"  8,066 ",9.3%,"  582,499 ",59.4%,"  536,100 ",54.7%,"  182,080 ",79.1%,"  176,167 ",76.5%,6%,18%,19%,  2.3 ,30%,6%,0%,3%,  0.68 ,  0.39 ,Likely Decreasing
"Palm Beach County, FL",Palm Beach County ,12099,Large fringe metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,"  1,496,770 ",24.3%,7.0%,0.5%,  1 ,"  24,036 ",1.6%,0.5%,  888 ,  59 ,  34 ,  2.3 ,-30%,+42%,0.6%,"  1,266 ",  85 ,  24 ,  1.6 ,"  148,004 ","  9,888 ","  2,866 ",  191 ,  -   ,  30 ,HighBurdenResolving,,Substantial,Substantial,4.6%,"  27,633 ","  1,846 ",,,-1.0%,-9%,,,5.6%,"  30,349 ","  2,028 ",,,  134 ,  4 ,  29 ,  1 ,76%,4%,61%,7%,23%,3%,-19%,-34%,+1%,-1%,-1%,-2%,+1%,0%,  15 ,"  3,570 ",  454 ,  734 ,100%,93%,100%,100%,"  750,202 ",50.1%,"  602,068 ",40.2%,"  4,361 ",4.4%,"  16,098 ",1.3%,"  1,907 ",0.5%,,,,"  15,520 ",15.7%,"  5,385 ",5.5%,"  734,417 ",60.5%,"  596,654 ",49.2%,"  311,824 ",85.5%,"  271,476 ",74.5%,14%,13%,24%,  2.6 ,19%,23%,0%,3%,  0.56 ,  0.40 ,Likely Decreasing
"Queens County, NY",Queens County ,36081,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,"  2,253,858 ",11.7%,11.6%,0.7%,  2 ,"  29,190 ",1.3%,0.5%,  876 ,  39 ,  29 ,  1.3 ,-43%,-38%,0.7%,"  1,545 ",  69 ,  47 ,  2.1 ,"  275,904 ","  12,241 ","  9,898 ",  439 ,  -   ,  48 ,ModerateBurdenResolving,,Moderate,Substantial,1.2%,"  114,389 ","  5,075 ",  1.0 ,100%,-0.7%,-14%,  -   ,+1%,1.9%,"  132,377 ","  5,873 ",  1.0 ,99%,  75 ,  2 ,  114 ,  3 ,73%,4%,53%,8%,32%,4%,-41%,+3%,+1%,-1%,0%,-2%,+3%,-1%,  7 ,"  3,779 ",  364 ,  713 ,100%,100%,100%,100%,"  1,287,843 ",57.1%,"  1,036,541 ",46.0%,"  7,842 ",5.6%,"  35,041 ",1.9%,"  3,539 ",1.0%,,,,"  34,397 ",24.4%,"  12,392 ",8.8%,"  1,253,364 ",69.5%,"  1,024,110 ",56.8%,"  282,902 ",76.8%,"  244,022 ",66.3%,11%,13%,16%,  2.9 ,18%,28%,0%,26%,  0.62 ,  0.83 ,Uncertain
"Monroe County, NY",Monroe County ,36055,Large central metro,"Rochester, NY",Metropolitan,NY,2,"  741,770 ",69.4%,3.8%,0.2%,  3 ,"  38,779 ",5.2%,0.5%,  829 ,  112 ,  11 ,  1.5 ,-28%,-42%,0.5%,"  1,145 ",  154 ,  19 ,  2.6 ,"  68,059 ","  9,175 ","  1,093 ",  147 ,  -   ,  27 ,SustainedHotspot,,High,High,4.3%,"  23,006 ","  3,102 ",  1.0 ,100%,-0.1%,-18%,  -   ,+1%,4.4%,"  27,954 ","  3,769 ",  1.0 ,99%,  121 ,  4 ,  21 ,  1 ,70%,5%,58%,9%,38%,4%,-16%,-9%,+1%,-1%,-1%,-2%,-4%,0%,  6 ,"  2,840 ",  296 ,  497 ,83%,83%,83%,83%,"  416,228 ",56.1%,"  364,823 ",49.2%,"  2,972 ",5.6%,"  7,640 ",1.3%,  690 ,0.5%,,,,"  17,088 ",32.2%,"  6,062 ",11.4%,"  399,122 ",67.8%,"  358,758 ",60.9%,"  116,589 ",88.0%,"  108,272 ",81.7%,4%,15%,18%,  2.4 ,15%,9%,0%,4%,  0.52 ,  0.68 ,Uncertain
"Dallas County, TX",Dallas County ,48113,Large central metro,"Dallas-Fort Worth-Arlington, TX",Metropolitan,TX,6,"  2,635,516 ",34.8%,9.1%,0.8%,  2 ,"  40,184 ",1.5%,0.5%,  798 ,  30 ,  17 ,  0.6 ,-29%,-43%,0.5%,"  1,125 ",  43 ,  30 ,  1.1 ,"  302,948 ","  11,495 ","  4,067 ",  154 ,  -   ,  20 ,HighBurdenResolving,,Moderate,Moderate,3.2%,"  25,446 ",  966 ,  1.0 ,99%,-0.3%,-6%,  -   ,0%,3.5%,"  27,138 ","  1,030 ",  1.0 ,99%,  115 ,  2 ,  926 ,  15 ,87%,3%,84%,7%,34%,2%,+11%,-3%,+1%,0%,+1%,-2%,+1%,0%,  31 ,"  6,089 ",  720 ,"  1,858 ",100%,97%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,21%,17%,11%,  2.8 ,23%,41%,0%,7%,  0.75 ,  0.60 ,Uncertain
"Tarrant County, TX",Tarrant County ,48439,Large central metro,"Dallas-Fort Worth-Arlington, TX",Metropolitan,TX,6,"  2,102,515 ",27.8%,7.3%,0.6%,  2 ,"  36,456 ",1.7%,0.5%,  798 ,  38 ,  23 ,  1.1 ,-21%,+53%,0.5%,"  1,004 ",  48 ,  15 ,  0.7 ,"  260,495 ","  12,390 ","  3,495 ",  166 ,  -   ,  31 ,ModerateBurdenResolving,,Moderate,Moderate,3.1%,"  17,503 ",  832 ,  1.0 ,98%,-0.6%,-8%,  -   ,-1%,3.7%,"  19,005 ",  904 ,  1.0 ,99%,  138 ,  3 ,  462 ,  11 ,85%,3%,83%,10%,29%,2%,+20%,+30%,+1%,0%,-1%,-1%,-1%,0%,  27 ,"  4,119 ",  394 ,"  1,394 ",100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,16%,13%,12%,  2.9 ,17%,29%,0%,6%,  0.55 ,  0.34 ,Uncertain
"Kent County, MI",Kent County ,26081,Large central metro,"Grand Rapids-Kentwood, MI",Metropolitan,MI,5,"  656,955 ",61.0%,6.6%,0.2%,  -   ,"  10,338 ",1.6%,0.5%,  794 ,  121 ,  16 ,  2.4 ,-24%,0%,0.5%,"  1,039 ",  158 ,  16 ,  2.4 ,"  72,555 ","  11,044 ",  838 ,  128 ,  -   ,  29 ,SustainedHotspot,,High,High,8.2%,"  12,130 ","  1,846 ",  -   ,89%,-0.9%,-19%,  (1.0),0%,9.0%,"  15,044 ","  2,290 ",  1.0 ,89%,  103 ,  6 ,  23 ,  1 ,88%,9%,89%,27%,31%,8%,-15%,+1033%,+3%,-2%,+1%,-6%,-4%,-2%,  4 ,"  1,633 ",  154 ,  406 ,100%,100%,100%,100%,"  301,434 ",45.9%,"  273,667 ",41.7%,  437 ,0.8%,"  3,994 ",0.8%,  296 ,0.3%,,,,"  6,365 ",12.1%,"  4,816 ",9.1%,"  295,054 ",59.0%,"  268,847 ",53.8%,"  75,539 ",81.4%,"  70,985 ",76.5%,7%,13%,14%,  2.6 ,10%,11%,0%,3%,  0.48 ,  0.26 ,Uncertain
"Chester County, PA",Chester County ,42029,Large fringe metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan,PA,3,"  524,989 ",8.6%,4.1%,0.2%,  1 ,"  17,744 ",3.4%,0.4%,  727 ,  138 ,  7 ,  1.3 ,+110%,-22%,0.2%,  346 ,  66 ,  9 ,  1.7 ,"  37,355 ","  7,115 ",  801 ,  153 ,  -   ,  37 ,EmergingHotspot,,High,Substantial,2.6%,"  8,102 ","  1,543 ",  1.0 ,98%,-0.7%,-5%,  -   ,0%,3.3%,"  8,525 ","  1,624 ",  1.0 ,98%,  28 ,  4 ,  61 ,  8 ,72%,3%,52%,7%,13%,3%,-5%,-1%,+2%,0%,+10%,+3%,+2%,+1%,  5 ,  780 ,  96 ,  124 ,100%,100%,100%,100%,"  391,827 ",74.6%,"  224,698 ",42.8%,"  3,044 ",7.0%,"  9,989 ",2.5%,  954 ,,,,,"  17,880 ",41.4%,"  4,414 ",10.2%,"  373,912 ",91.9%,"  220,281 ",54.1%,"  103,669 ",99.9%,"  67,227 ",76.1%,6%,7%,17%,  2.7 ,6%,8%,0%,6%,  0.14 ,  0.15 ,Uncertain
"Lee County, FL",Lee County ,12071,Medium metro,"Cape Coral-Fort Myers, FL",Metropolitan,FL,4,"  770,577 ",100.0%,3.6%,0.2%,  2 ,"  17,723 ",2.3%,0.4%,  717 ,  93 ,  17 ,  2.2 ,-30%,+89%,0.5%,"  1,019 ",  132 ,  9 ,  1.2 ,"  73,278 ","  9,509 ","  1,005 ",  130 ,  -   ,  21 ,SustainedHotspot,,Substantial,High,6.6%,"  10,901 ","  1,415 ",,,-0.4%,-4%,,,7.1%,"  11,309 ","  1,468 ",,,  79 ,  5 ,  12 ,  1 ,89%,7%,77%,12%,30%,4%,+6%,+9%,-1%,0%,-1%,-5%,+3%,-3%,  5 ,"  1,565 ",  151 ,  242 ,100%,100%,100%,100%,"  373,181 ",48.4%,"  297,618 ",38.6%,  963 ,2.1%,"  6,457 ",1.0%,"  1,042 ",0.5%,,,,"  4,331 ",9.3%,"  1,008 ",2.2%,"  368,776 ",57.9%,"  296,609 ",46.6%,"  196,318 ",87.4%,"  168,579 ",75.0%,14%,14%,29%,  2.6 ,8%,23%,0%,2%,  0.55 ,  0.68 ,Uncertain
"Brazos County, TX",Brazos County ,48041,Small metro,"College Station-Bryan, TX",Metropolitan,TX,6,"  229,211 ",86.6%,0.8%,0.1%,  1 ,"  59,220 ",25.8%,0.4%,  711 ,  310 ,  1 ,  0.4 ,+611%,0%,0.0%,  100 ,  44 ,  1 ,  0.4 ,"  27,512 ","  12,003 ",  252 ,  110 ,  3 ,  -   ,Hotspot,Continuing,High,Moderate,4.3%,"  2,812 ","  1,227 ",  1.0 ,100%,0.0%,-8%,  -   ,0%,4.3%,"  3,063 ","  1,336 ",  1.0 ,100%,  23 ,  3 ,  -   ,  -   ,54%,4%,93%,16%,25%,2%,-1%,,+2%,+1%,+9%,+6%,+6%,+1%,  5 ,  664 ,  46 ,  150 ,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,13%,25%,9%,  2.6 ,11%,26%,0%,6%,  0.65 ,  0.18 ,Likely Decreasing
"Marion County, IN",Marion County ,18097,Large central metro,"Indianapolis-Carmel-Anderson, IN",Metropolitan,IN,5,"  964,582 ",46.5%,14.3%,0.3%,  1 ,"  34,857 ",3.6%,0.4%,  705 ,  73 ,  5 ,  0.5 ,-8%,-38%,0.4%,  768 ,  80 ,  8 ,  0.8 ,"  101,599 ","  10,533 ","  1,758 ",  182 ,  -   ,  14 ,HighBurdenResolving,,Substantial,Substantial,4.9%,"  16,255 ","  1,685 ",  1.0 ,96%,+1.1%,+20%,  -   ,+21%,3.8%,"  13,601 ","  1,410 ",  1.0 ,75%,  78 ,  2 ,  214 ,  5 ,72%,3%,71%,9%,28%,3%,-24%,-21%,0%,0%,+3%,0%,0%,0%,  13 ,"  4,146 ",  630 ,"  1,010 ",100%,92%,100%,100%,"  385,839 ",40.0%,"  310,199 ",32.2%,"  2,255 ",3.0%,"  10,029 ",1.4%,  704 ,0.6%,,,,"  11,318 ",15.1%,"  3,270 ",4.4%,"  374,488 ",51.5%,"  306,922 ",42.2%,"  96,819 ",77.9%,"  89,937 ",72.4%,11%,19%,13%,  2.5 ,28%,11%,0%,4%,  0.80 ,  0.38 ,Uncertain
"Oakland County, MI",Oakland County ,26125,Large fringe metro,"Detroit-Warren-Dearborn, MI",Metropolitan,MI,5,"  1,257,584 ",29.1%,12.6%,0.4%,  1 ,"  17,236 ",1.4%,0.4%,  701 ,  56 ,  28 ,  2.2 ,-50%,-44%,0.7%,"  1,413 ",  112 ,  50 ,  4.0 ,"  117,495 ","  9,343 ","  2,346 ",  187 ,  -   ,  34 ,HighBurdenResolving,,Substantial,High,3.7%,"  19,014 ","  1,512 ",  1.0 ,99%,-1.6%,-12%,  -   ,0%,5.4%,"  21,609 ","  1,718 ",  1.0 ,99%,  219 ,  6 ,  37 ,  1 ,78%,5%,73%,11%,20%,3%,-12%,-15%,0%,-2%,-5%,-4%,-3%,-2%,  13 ,"  3,700 ",  391 ,  772 ,100%,100%,100%,100%,"  664,215 ",52.8%,"  583,478 ",46.4%,"  1,493 ",1.6%,"  8,846 ",0.9%,  867 ,0.4%,,,,"  15,711 ",16.8%,"  10,948 ",11.7%,"  648,483 ",65.0%,"  572,527 ",57.4%,"  180,096 ",82.7%,"  169,079 ",77.7%,5%,9%,17%,  2.5 ,14%,4%,0%,8%,  0.11 ,  0.16 ,Uncertain
"Hennepin County, MN",Hennepin County ,27053,Large central metro,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan,MN,5,"  1,265,843 ",34.8%,22.5%,0.4%,  1 ,"  45,730 ",3.6%,0.4%,  682 ,  54 ,  11 ,  0.9 ,-31%,0%,0.5%,  988 ,  78 ,  11 ,  0.9 ,"  123,944 ","  9,791 ","  1,749 ",  138 ,  -   ,  33 ,HighBurdenResolving,,Substantial,Substantial,3.0%,"  44,708 ","  3,532 ",  1.0 ,99%,-0.5%,-14%,  -   ,-1%,3.5%,"  52,141 ","  4,119 ",  1.0 ,100%,  121 ,  4 ,  35 ,  1 ,90%,5%,83%,14%,38%,5%,+31%,-8%,0%,0%,0%,0%,+1%,0%,  10 ,"  2,990 ",  323 ,  668 ,100%,90%,100%,100%,"  752,900 ",59.5%,"  631,151 ",49.9%,"  8,154 ",9.2%,"  13,088 ",1.3%,  866 ,0.5%,,,,"  32,097 ",36.1%,"  11,847 ",13.3%,"  719,243 ",72.7%,"  619,296 ",62.6%,"  165,216 ",90.0%,"  154,228 ",84.0%,5%,11%,15%,  2.4 ,14%,7%,1%,7%,  0.31 ,  0.07 ,Uncertain
"Jefferson County, KY",Jefferson County ,21111,Large central metro,"Louisville/Jefferson County, KY-IN",Metropolitan,KY,4,"  766,757 ",60.6%,17.2%,0.2%,  1 ,"  22,271 ",2.9%,0.4%,  670 ,  87 ,  12 ,  1.6 ,-9%,+71%,0.3%,  738 ,  96 ,  7 ,  0.9 ,"  81,906 ","  10,682 ","  1,208 ",  158 ,  -   ,  -   ,Hotspot,,Substantial,Substantial,3.2%,"  13,191 ","  1,720 ",  1.0 ,99%,-1.4%,+13%,  -   ,+1%,4.5%,"  11,722 ","  1,529 ",  1.0 ,98%,  180 ,  6 ,  100 ,  3 ,71%,2%,61%,6%,36%,4%,-12%,-25%,+1%,0%,+2%,0%,-1%,+1%,  7 ,"  3,166 ",  469 ,  420 ,86%,71%,100%,86%,"  404,503 ",52.8%,"  329,168 ",42.9%,"  3,157 ",5.6%,"  9,071 ",1.5%,  801 ,0.6%,,,,"  14,108 ",25.2%,"  4,779 ",8.5%,"  390,221 ",65.2%,"  324,377 ",54.2%,"  108,771 ",85.1%,"  97,153 ",76.1%,6%,15%,17%,  2.4 ,22%,6%,0%,3%,  0.57 ,  0.36 ,Uncertain
